NodeId,PageRank
1056,0.00016840228824133006
1054,0.00016648273067010674
1536,0.0001380120283724634
171,0.00013657537618197717
453,0.000131525226332922
407,0.00012806250724722626
263,0.0001276416366628618
4664,0.00012593782353449655
1959,0.00012268913735854543
261,0.00012212458274006566
410,0.00012170075667602412
165,0.00012160882760851346
1198,0.00011577370348110998
127,0.00011264267307753043
4054,0.00010984905390278248
2265,0.00010844092732545981
345,0.00010812475165749167
763,0.00010810600933930183
989,0.00010558086539062933
987,0.00010509398156489884
408,0.00010439655136922067
329,0.00010301997931254359
903,0.00010280771269083313
4,0.00010193862257930221
1551,0.00010066852380056033
481,0.00010042254516642742
699,0.00010010934947988065
1598,9.958236109371947e-05
2485,9.921518127108941e-05
982,9.866738116864052e-05
1055,9.834090642504091e-05
2975,9.823627257164533e-05
1971,9.7520496818653e-05
220,9.678810294002488e-05
99,9.604610924951301e-05
147,9.552369843798528e-05
628,9.387202254542555e-05
5397,9.071083949381092e-05
348,9.062256504252274e-05
2177,9.03351706400219e-05
131,9.031735977056743e-05
565,8.967253164677548e-05
695,8.94249565015051e-05
185,8.910841260729562e-05
988,8.893130637216706e-05
568,8.851122351025853e-05
812,8.799352973667332e-05
3881,8.792336311777687e-05
4682,8.7793551183414e-05
4159,8.753426270203468e-05
3076,8.622940046729923e-05
3060,8.617904590454104e-05
1537,8.593585106733967e-05
867,8.575588225872926e-05
412,8.53823529448248e-05
344,8.506662371187792e-05
566,8.373152957891416e-05
1282,8.367270709388063e-05
1503,8.333214616948482e-05
1164,8.26029717347121e-05
889,8.248111625279904e-05
146,8.23428663808049e-05
1456,8.203566305092651e-05
5315,8.138838045869481e-05
2364,8.13504156917277e-05
3802,8.12375026780977e-05
495,8.097994160813985e-05
765,8.066795520065374e-05
761,8.032124061688702e-05
1922,7.981972273190224e-05
1535,7.972540256397212e-05
1943,7.92438730118493e-05
200,7.914906644688918e-05
1534,7.880883625200723e-05
2179,7.832000972403136e-05
819,7.818919561349078e-05
592,7.818737170012812e-05
205,7.808692236611191e-05
2096,7.792710470333652e-05
1248,7.783527045582488e-05
2196,7.745729445546874e-05
3578,7.734765722432839e-05
7008,7.724766702695189e-05
5673,7.692948489818983e-05
696,7.686545859965364e-05
470,7.679138479213906e-05
794,7.619981301916398e-05
167,7.600900620177165e-05
260,7.598960113316821e-05
560,7.544329822470317e-05
1932,7.522025461908793e-05
945,7.498402276785444e-05
1963,7.47544260173401e-05
1217,7.383363626036702e-05
149,7.359053828636633e-05
3587,7.275568675155092e-05
5728,7.252492276144485e-05
3322,7.247233115849175e-05
1186,7.244180399115453e-05
2484,7.240516315050264e-05
129,7.235228406682833e-05
1323,7.17673811927452e-05
1091,7.172822686690482e-05
405,7.158584985947504e-05
2152,7.149754658676269e-05
2195,7.128093152339181e-05
669,7.119254060905121e-05
102,7.092483986550811e-05
664,7.084182129856968e-05
1527,7.075665511457684e-05
1143,7.072217883251616e-05
1553,7.070526780992428e-05
1255,7.041576627079855e-05
648,7.032328419021206e-05
2197,7.028099892213957e-05
624,7.018116984358239e-05
323,7.011983724334121e-05
742,6.97903085992103e-05
1356,6.978657221097772e-05
1116,6.97670760435963e-05
2223,6.91497826348371e-05
118,6.913748140961191e-05
1529,6.905372952225015e-05
984,6.89220324458656e-05
326,6.876019214121224e-05
437,6.834065687581839e-05
562,6.75708539784101e-05
598,6.694624752133851e-05
1506,6.69365663380889e-05
2927,6.692053370034267e-05
155,6.665240442123299e-05
77,6.6536936170374e-05
4870,6.644649662529791e-05
296,6.643197991229619e-05
1058,6.628858434698576e-05
121,6.619707772014522e-05
4673,6.598805267413814e-05
148,6.575578637178473e-05
161,6.575203117780635e-05
2396,6.551699092253786e-05
330,6.538391726859167e-05
1365,6.534714234267092e-05
133,6.52260311276088e-05
1050,6.51661685538797e-05
2018,6.506765517151352e-05
346,6.500503297781657e-05
2864,6.496136688763537e-05
638,6.490609529285914e-05
2283,6.485612480735505e-05
693,6.453209808869724e-05
2799,6.435126350412987e-05
4094,6.427446955159399e-05
1579,6.411806705926371e-05
6769,6.410113681177549e-05
834,6.40902557106099e-05
5826,6.407788694206855e-05
168,6.401006022439218e-05
397,6.391319006032716e-05
3408,6.347216669124802e-05
2888,6.336416007443958e-05
4374,6.330398488199313e-05
735,6.329746970039765e-05
630,6.319010001944891e-05
970,6.315908491660644e-05
4790,6.306221633116212e-05
4142,6.297811375715886e-05
1699,6.279827437498887e-05
1711,6.261764262319683e-05
1934,6.251954246768884e-05
1176,6.244361099971412e-05
1501,6.229233068686342e-05
646,6.199010191943327e-05
